"","Region","Site","Survey_Date","Season","Vert_Transect_Dist_m","Quad_Dist_m","Quad_TH_m","Dead_Barnacles","Acorn_Barnacle_Balanus_Chthamalus","California_Mussel_M._californianus","Angled_Unicorn_Whelk_A._spirata","Dark_Unicorn_Whelk_M._lugubris","As_Count","Mex_Count","Mex_Status","As_Status","Mex_Present","As_Present","As_Log_Trans","Mex_Log_Trans","Avg_Lat","Prop_LiveBarn","Mussel_Prop"
"1","SoCal","Swami's",2022-04-15,"Spring",13,0,1.35,1,3,0,0,0,0,0,"Expanded","Historic",0,0,0,0,33.03537,0.75,0
"2","SoCal","Swami's",2022-04-15,"Spring",13,6.82,1.1,1,0,8,0,0,0,0,"Expanded","Historic",0,0,0,0,33.03537,0,0.08
"3","SoCal","Swami's",2022-04-15,"Spring",13,7.32,0.85,0,0,2,0,0,0,0,"Expanded","Historic",0,0,0,0,33.03537,NA,0.02
"4","SoCal","Swami's",2022-04-15,"Spring",13,16.81,0.6,0,0,3,0,0,0,0,"Expanded","Historic",0,0,0,0,33.03537,NA,0.03
"5","SoCal","Swami's",2022-04-15,"Spring",12,0,1.34,0,0.25,0,0,0,0,0,"Expanded","Historic",0,0,0,0,33.03537,1,0
"6","SoCal","Swami's",2022-04-15,"Spring",12,6.91,1.09,0,0,0,0,0,0,0,"Expanded","Historic",0,0,0,0,33.03537,NA,0
"7","SoCal","Swami's",2022-04-15,"Spring",12,19.54,0.84,0,0,4,0,0,0,0,"Expanded","Historic",0,0,0,0,33.03537,NA,0.04
"8","SoCal","Swami's",2022-04-15,"Spring",9,0,1.36,0,0,0,0,0,0,0,"Expanded","Historic",0,0,0,0,33.03537,NA,0
"9","SoCal","Swami's",2022-04-15,"Spring",9,6.34,1.11,0,12,17,0,0,0,0,"Expanded","Historic",0,0,0,0,33.03537,1,0.17
"10","SoCal","Swami's",2022-04-15,"Spring",9,19.22,0.86,0,0,0,0,0,0,0,"Expanded","Historic",0,0,0,0,33.03537,NA,0
"11","SoCal","Swami's",2022-04-15,"Spring",8,0,0.89,0,0,0,0,0,0,0,"Expanded","Historic",0,0,0,0,33.03537,NA,0
"12","SoCal","Swami's",2022-04-15,"Spring",1,0,1.31,0,15,15,0,0,0,0,"Expanded","Historic",0,0,0,0,33.03537,1,0.15
"13","SoCal","Swami's",2022-04-15,"Spring",1,9.88,1.06,0,2,8,0,2,0,1,"Expanded","Historic",1,0,0,0.693147180559945,33.03537,1,0.08
"14","SoCal","Swami's",2022-04-15,"Spring",1,10.23,0.81,0,0,0,0,0,0,0,"Expanded","Historic",0,0,0,0,33.03537,NA,0
"15","SoCal","Heisler Park",2022-04-13,"Spring",16,0,1.92,0.1,12,0,0,0,0,0,"Expanded","Historic",0,0,0,0,33.542376,0.991735537190083,0
"16","SoCal","Heisler Park",2022-04-13,"Spring",16,0.95,1.67,18,38,0,0,0,0,0,"Expanded","Historic",0,0,0,0,33.542376,0.678571428571429,0
"17","SoCal","Heisler Park",2022-04-13,"Spring",16,3.64,1.42,0.1,1,23,0,0,0,0,"Expanded","Historic",0,0,0,0,33.542376,0.909090909090909,0.23
"18","SoCal","Heisler Park",2022-04-13,"Spring",16,4.78,1.17,1,10,0.5,0,0,0,0,"Expanded","Historic",0,0,0,0,33.542376,0.909090909090909,0.005
"19","SoCal","Heisler Park",2022-04-13,"Spring",16,5.21,0.92,1,0.7,16,0,0,0,0,"Expanded","Historic",0,0,0,0,33.542376,0.411764705882353,0.16
