Entered_By,QAQC_By,Region,Site,Plot_ID,Target_Species,No_Target_Whelks_In_Plot,No_Whelks_Added,Added_Whelk_IDs,Deploy_Date,Survey_Date,Days_Deployed,Weeks_Deployed,Survey_By,Recorded_By,Bare_Space,Whelk_Eggs,Acorn_Barnacle_Cover,Dead_Acorn_Barnacle_Cover,Gooseneck_Barnacle_Cover,Gooseneck_Barnacle_Count,Dead_Gooseneck_Barnacle_Cover,Dead_Gooseneck_Barnacle_Count,Drilled_Gooseneck_Barnacle_Count,Thatched_Barnacle_Semibalanus_spp,Volcano_Barnacle_T._rubescens,California_Mussel_M._californianus_Cover,California_Mussel_M._californianus_Count,Dead_M._californianus_Cover,Dead_M._californianus_Count,Drilled_M._californianus_Count,Adam's_Mussel_Brachidontes,Mediterranean_Mussel_M._galloprovincialis_Cover,Mediterranean_Mussel_M._galloprovincialis_Count,Dead_M._galloprovincialis_Cover,Dead_M._galloprovincialis_Count,Drilled_M._galloprovincialis_Count,"Bay_Mussel_
M._trossulus",Oyster,Tubeworm,Aggregating_Anemone_A._elegantissima,Sunburst_Anemone_A._sola,Brooding_Anemone_E._prolifera,Sandcastle_Worms_P._californica,Encrusting_bryozoan,Coralline_algae_Articulated,Coralline_algae_Encrusting,Wine_Crust_Hildenbrandia,Fleshy_Crust_Petrocelis,Brown_Crust_Ralfsia,Hornweed_Ceramium,Lawn_Algae_Chondracanthus,Sea_Potato_Colpomenia,Turfweed_Endocladia,Gelidium,Laurencia,Leathesia,Turkish_Washcloth_Mastocarpus,Mazzaella_leptorhyncos,Mazzaella_splendens,Petalonia,Porphyra,Sea_lettuce_Ulva_spp.,Surfgrass_Phyllospadix,Biofilm,Egregia menziesii,Colpomenia,Angled_Unicorn_Whelk_A._spirata_Cover,Angled_Unicorn_Whelk_A._spirata_Count,Dark_Unicorn_Whelk_M._lugubris_Cover,Dark_Unicorn_Whelk_M._lugubris_Count,Channeled_Whelk_N._canaliculata,Emarginate_Whelk_N._emarg_ost,Poulsons_Dwarf_Triton_R._poulsoni,Spotted_Thorn_Drupe_A._punctualta,Graceful_Rocksnail_O._gracillima,Lurid_Rocksnail_O._lurida,Fringed_Dogwhelk_N._lamellosa,Olive_Snail_Olivella,Periwinkle_Snails_Littorina_spp.,Turban_Snails_Tegula_sp.,Chitons,Limpets_Small_Lottia_spp.,Owl_Limpet_L._gigantea,Hermit_Crab_Pagurus_spp,Lined_Shore_Crab_Pachygrapsus,Purple_Crab_Hemigrapsus,Brittle_Star_Ophiuroid,Ochre_Star_Pisaster,Errant_Polychaete,Notes
RB,SS,SoCal,Dana Point,0 Whelk,M,0,0,NA,5/24/2023,5/24/2023,0,0,RB,KS,20,0,40,5,2,4,0,0,0,0,0,30,231,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,2,0.5,0,0,1,0,0,0,0,
RB,SS,SoCal,Dana Point,1 Whelk,M,1,1,200,5/24/2023,5/24/2023,0,0,RB,KS,20,0,40,8,0,0,0,0,0,0,0,35,250,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.1,0,3,0.7,0,0,0,0,0,0,0,
RB,SS,SoCal,Dana Point,6 Whelk,M,6,6,"307, 304, 308, 305, 303, 306",5/24/2023,5/24/2023,0,0,RB,RB,15,0,30,5,4,9,0,0,0,0,0,80,460,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0.2,0,2,0.5,0,0,1,0,0,0,0,
RB,SS,SoCal,Dana Point,3 Whelk,M,3,3,"302, 301, 300",5/24/2023,5/24/2023,0,0,RB,RB,25,0,25,10,0,0,0,0,0,0,0,45,320,2,2,0,0.2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0.1,0,7,1,0,0,2,0,0,0,0,
RB,SS,SoCal,Dana Point,No Cage,M,0,0,NA,5/24/2023,5/24/2023,0,0,RB,RB,35,0,25,15,1,2,0,0,0,0,0,15,44,0,0,0,0.1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,5,1,0,0,0,0,0,0,0,
RB,SS,SoCal,Dana Point,12 Whelk,M,12,12,"207, 242, 204, 202, 206, 309, 201, 203, 310, 312, 311, 205",5/24/2023,5/24/2023,0,0,RB,RB,5,0,40,10,0,0,0,0,0,0,0,40,301,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,12,0,0,0,0,0,0,0,0,0.2,0,2,0.5,0,0,0.5,0,0,0,0,Endocladia on chiton
RB,SS,SoCal,Dana Point,Partial,M,0,0,NA,5/24/2023,5/24/2023,0,0,RB,RB,15,0,15,5,3,4,0,0,0,0,0,45,251,1,1,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0,0,0,0,0,0,0,0,0,0,0.3,0,2,1,0,0,3,0,0,0,0,
RB,SS,SoCal,Scripps,Partial,M,0,0,NA,5/29/2023,5/29/2023,0,0,RB,CT,50,0,15,15,0.5,1,0,0,0,0,0,19,98,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,5,2,0,0,0,0,0,0,Endocladia may be Caulacanthus
RB,SS,SoCal,Scripps,6 Whelk,M,6,6,"320, 315, 325, 324, 214, 209",5/29/2023,5/29/2023,0,0,RB,CT,55,0,10,5,1,3,0,0,0,0,0,12,37,0,0,0,1,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,2,0,1,0.5,0,0,0.5,0,0,0,0,
RB,SS,SoCal,Scripps,0 Whelk,M,0,0,NA,5/29/2023,5/29/2023,0,0,RB,CT,25,0,20,20,3,7,0,0,0,0,0,9,15,0,0,0,0.5,9,11,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,2,0,0,0,0,0,0,0,Endocladia may be Caulacanthus
