Sheet Name,Column,Description,Values
ExptCommunityData,Entered_By,Initials of researcher entering data,Varies
ExptCommunityData,QAQC_By,Initials of researcher doing the entry quality check,Varies
ExptCommunityData,Region,The overall geographical region in which a specific site exists,"Northern California (Cape Mendocino, Cape Mendocino South) = NorCal, Southern California (Dana Point, Scripps) = SoCal, Baja California (Punta Morro, Campo Kennedy) = Baja"
ExptCommunityData,Site,Name of the site surveyed,"Cape Mendocino, Cape Mendocino South, Dana Point, Scripps Preserve (aka Dike Rock), Punta Morro, Campo Kennedy"
ExptCommunityData,Plot_ID,Plot identification (replicated across sites),"Uncaged, Partial Cage, 0 Whelk, 1 Whelk, 3 Whelk, 6 Whelk, 12 Whelk, and 24 Whelk (24 whelk in Baja sites only)"
ExptCommunityData,Target_Species,Species intended to be contained within the cage. Other native whelks occurring in the plot were removed prior to fastening the cage. ,"M = Mexacanthina lugubris, As = Acanthinucella spirata"
ExptCommunityData,No_Target_Whelks_In_Plot,The number of whelks remaining in the cage from the previous survey. Used to track how closely actual density matches with desired density. May not always equal the number of whelks initially caged.,"Varies, but ideally 0, 1, 3, 6, 12, and 24 (Baja sites only). This value may differ from the individual count on the deployment date, as most plots did not contain whelks upon deployment. On all other days, the value was recorded at the beginning of the survey (as a reflection of how many whelks remained after the ~2 week period). This column was used for the running average to assess the ""average"" whelk presence within our plots."
ExptCommunityData,No_Whelks_Added,The number of whelks added to the cage on dates AFTER deployement. Should make the total whelks in the cage equal the desired density level. ,"Varies, numeric"
ExptCommunityData,Added_Whelk_IDs,The bee tag number assigned to whelks added to the cage,"Varies, numeric"
ExptCommunityData,Deploy_Date,Date the plot was established,"Campo Kennedy = 5/12/2023, Punta Morro = 5/13/2023, Dana Point = 5/24/2023, Scripps = 5/29/2023, Cape Mendocino = 6/21/2023, Cape Mendocino South = 6/22/2023"
ExptCommunityData,Survey_Date,Date the plot was surveyed ,"Varies, ideally in 2-week intervals between surveys at a site"
ExptCommunityData,Days_Deployed,Number of days since the deployment date,Varies 
ExptCommunityData,Weeks_Deployed,Approx. number of weeks since the deployment date. Adjusted to the nearest 2-week interval. ,"0, 2, 4, 6, 8, (for all northern and southern California sites), and 10, 12 (for Baja sites)"
ExptCommunityData,Surveyed_By,Initials of the researcher conducting the community survey,Varies
ExptCommunityData,Recorded_By,Initials of the researcher recording the survey data,Varies 
ExptCommunityData,Whelk_Eggs,The abundance of each whelk eggs present within the plots. Values given in percent cover. Whelk eggs were observed in only one plot during the experiment. ,"0, 0.5"
ExptCommunityData,Bare_Space,"The amount of bare space (i.e., exposed rock) present within the plots. Values given in percent cover.",0-100 
ExptCommunityData,"Species Abundances 
(Columns R-CL)",The abundance of each species present within the plots. Values given in percent cover unless otherwise noted in the column name.,"0-100 for columns in percent cover columns, 0+ (in whole intervals) for count columns"
ExptCommunityData,Notes,Miscellaneous notes,Varies
