Entered_By,QAQC_By,Region,Site,Survey_Date,Surveyor,Method,Vert_Transect_Number,Vert_Transect_Dist_m,GPS_Lat,GPS_Long,Rod_Height_Waterline_m,Surveyor_Hgt_m,Laser_to_Waterline_m,TH_at_Waterline_m,TH_Laser_Top,Rod_Height_Transect_Top,TH_Transect_Top_m,Notes
RB,AA,SoCal,Victoria Beach,4/19/2022,"HW, CC",Laser,5,24,33.51969,-117.76455,NA,0.94,2.79,-0.15,2.64,0.72,1.92,QA/QC: Changed date from 4/29/22 to 4/19/22
RB,AA,SoCal,Victoria Beach,4/19/2022,"HW, CC",Laser,4,13,33.51962,-117.76452,NA,0.94,2.79,-0.15,2.64,1.07,1.57,QA/QC: Changed date to 4/19/22
RB,AA,SoCal,Victoria Beach,4/19/2022,"HW, CC",Laser,3,12,33.51963,-117.76446,NA,0.94,2.79,-0.15,2.64,1.1,1.54,QA/QC: Changed date to 4/19/22
RB,AA,SoCal,Victoria Beach,4/19/2022,"HW, CC",Laser,2,10,33.51962,-117.76443,NA,0.94,2.79,-0.15,2.64,1.21,1.43,QA/QC: Changed date to 4/19/22
RB,AA,SoCal,Victoria Beach,4/19/2022,"HW, CC",Laser,1,5,33.51965,-117.76441,NA,0.94,2.79,-0.15,2.64,1.18,1.46,QA/QC: Changed date to 4/19/22
AA,RB,Baja,Saldamando,5/20/2022,"CC, RV",Laser,5,22,31.92846,-116.75546,NA,1.28,2.68,-0.245,2.44,1.72,0.72,
AA,RB,Baja,Saldamando,5/20/2022,"CC, RV",Laser,4,18,31.92845,-116.75545,NA,1.28,2.68,-0.245,2.44,1.24,1.20,
AA,RB,Baja,Saldamando,5/20/2022,"CC, RV",Laser,3,17,31.92844,-116.75542,NA,1.28,2.68,-0.245,2.44,1.6,0.84,
AA,RB,Baja,Saldamando,5/20/2022,"CC, RV",Laser,2,16,31.92842,-116.75542,NA,1.28,2.68,-0.245,2.44,1.24,1.20,
AA,RB,Baja,Saldamando,5/20/2022,"CC, RV",Laser,1,13,31.92835,-116.75552,NA,1.28,2.68,-0.245,2.44,1.16,1.28,
AA,RB,Baja,San Miguel,5/19/2022,CC ,Laser,5,22,31.90182,-116.72755,NA,1.22,3.46,-0.253,3.21,2.05,1.16,
AA,RB,Baja,San Miguel,5/19/2022,CC ,Laser,4,21,31.90182,-116.72756,NA,1.22,3.46,-0.253,3.21,1.7,1.51,
AA,RB,Baja,San Miguel,5/19/2022,CC ,Laser,3,17,31.90186,-116.72754,NA,1.22,3.46,-0.253,3.21,1.93,1.28,
AA,RB,Baja,San Miguel,5/19/2022,CC ,Laser,2,16,31.90185,-116.72752,NA,1.22,3.46,-0.253,3.21,1.91,1.30,
AA,RB,Baja,San Miguel,5/19/2022,CC ,Laser,1,7,31.90184,-116.72741,NA,1.22,3.46,-0.253,3.21,1.99,1.22,
AA,RB,Baja,Punta Morro,5/22/2022,CC,Laser,5,19,31.86150,-116.66790,NA,1.2,2.22,-0.1,2.12,1.19,0.93,
AA,RB,Baja,Punta Morro,5/22/2022,CC,Laser,4,11,31.86149,-116.66783,NA,1.2,2.22,-0.1,2.12,1.24,0.88,
AA,RB,Baja,Punta Morro,5/22/2022,CC,Laser,3,10,31.86157,-116.66788,NA,1.2,2.22,-0.1,2.12,1.02,1.1,
AA,RB,Baja,Punta Morro,5/22/2022,CC,Laser,2,3,31.86148,-116.66775,NA,1.2,2.22,-0.1,2.12,1.35,0.77,
AA,RB,Baja,Punta Morro,5/22/2022,CC,Laser,1,2,31.86146,-116.66772,NA,1.2,2.22,-0.1,2.12,1.26,0.86,
AA,RB,Baja,Campo Kennedy,5/21/2022,"CC, JL",Laser,5,16,31.70260,-116.68332,NA,1.34,2.42,-0.145,2.28,0.78,1.50,
AA,RB,Baja,Campo Kennedy,5/21/2022,"CC, JL",Laser,4,10,31.70257,-116.68327,NA,1.34,2.42,-0.145,2.28,1.33,0.95,
AA,RB,Baja,Campo Kennedy,5/21/2022,"CC, JL",Laser,3,8,31.70257,-116.68325,NA,1.34,2.42,-0.145,2.28,1.08,1.20,
AA,RB,Baja,Campo Kennedy,5/21/2022,"CC, JL",Laser,2,7,31.70257,-116.68322,NA,1.34,2.42,-0.145,2.28,1.18,1.10,
AA,RB,Baja,Campo Kennedy,5/21/2022,"CC, JL",Laser,1,3,31.70255,-116.68320,NA,1.34,2.42,-0.145,2.28,1.11,1.17,
AA,RB,Baja,La Chorera Norte,5/24/2022,CC,Laser,5,13,30.47474,-116.04760,NA,1.07,2.7,0.116,2.82,1.13,1.69,
AA,RB,Baja,La Chorera Norte,5/24/2022,CC,Laser,4,11,30.47471,-116.04762,NA,1.07,2.7,0.116,2.82,1.36,1.46,
AA,RB,Baja,La Chorera Norte,5/24/2022,CC,Laser,3,9,30.47470,-116.04763,NA,1.07,2.7,0.116,2.82,1.56,1.26,
AA,RB,Baja,La Chorera Norte,5/24/2022,CC,Laser,2,8,30.47469,-116.04765,NA,1.07,2.7,0.116,2.82,1.47,1.35,
AA,RB,Baja,La Chorera Norte,5/24/2022,CC,Laser,1,2,30.47464,-116.04761,NA,1.07,2.7,0.116,2.82,1,1.82,
AA,RB,Baja,La Chorera,5/23/2022,CC,Laser,5,18,30.45973,-116.03792,NA,1.11,2.83,0.007,2.84,0.95,1.89,
AA,RB,Baja,La Chorera,5/23/2022,CC,Laser,4,17,30.45960,-116.03806,NA,1.11,2.83,0.007,2.84,1.23,1.61,
AA,RB,Baja,La Chorera,5/23/2022,CC,Laser,3,7,30.45950,-116.03801,NA,1.11,2.83,0.007,2.84,0.85,1.99,
AA,RB,Baja,La Chorera,5/23/2022,CC,Laser,2,2,30.45947,-116.03802,NA,1.11,2.83,0.007,2.84,1.4,1.44,
AA,RB,Baja,La Chorera,5/23/2022,CC,Laser,1,1,30.45945,-116.03802,NA,1.11,2.83,0.007,2.84,1.2,1.64,
AA,RB,NorCal,Mendocino North,6/18/2022,CC,Laser,5,25,40.39699,-124.37951,NA,1.07,2.97,-0.43,2.54,0.95,1.59,
AA,RB,NorCal,Mendocino North,6/18/2022,CC,Laser,4,23,40.39697,-124.37949,NA,1.07,2.97,-0.43,2.54,1.32,1.22,
AA,RB,NorCal,Mendocino North,6/18/2022,CC,Laser,3,15,40.39693,-124.37944,NA,1.07,2.97,-0.43,2.54,1.13,1.41,
AA,RB,NorCal,Mendocino North,6/18/2022,CC,Laser,2,14,40.39692,-124.37944,NA,1.07,2.97,-0.43,2.54,0.76,1.78,
