Entered_By,QAQC_By,Region,Site,Survey_Date,Vert_Transect_Dist_m,Quad_Dist_m,Species,Total_Length,Timed_Count_Conducted,In_Timed_Count,Remote_ID,Whelk_TH_m,Notes
RB,AA,SoCal,Victoria Beach,4/19/2022,24,3.65,As,10.69,N,N,NA,0.42,Mussel bed - no TC for Victoria during Spr2022 survey due to rough waves
RB,AA,SoCal,Victoria Beach,4/19/2022,24,1.04,M,28.2,N,N,NA,1.67,Mussel bed - no TC for Victoria during Spr2022 survey due to rough waves
RB,AA,SoCal,Victoria Beach,4/19/2022,5,1.1,Ne,21.8,N,N,NA,1.21,Mussel bed - no TC for Victoria during Spr2022 survey due to rough waves
RB,AA,SoCal,Victoria Beach,4/19/2022,13,3.84,As,18.1,N,N,NA,1.07,Mussel bed - no TC for Victoria during Spr2022 survey due to rough waves
RB,AA,SoCal,Victoria Beach,4/19/2022,13,3.84,As,14.9,N,N,NA,1.07,Mussel bed - no TC for Victoria during Spr2022 survey due to rough waves
RB,AA,SoCal,Victoria Beach,4/19/2022,13,3.84,As,15.7,N,N,NA,1.07,Mussel bed - no TC for Victoria during Spr2022 survey due to rough waves
RB,AA,SoCal,Victoria Beach,4/19/2022,13,3.84,M,19.9,N,N,NA,1.07,Mussel bed - no TC for Victoria during Spr2022 survey due to rough waves
RB,AA,SoCal,Victoria Beach,4/19/2022,13,3.84,M,21.1,N,N,NA,1.07,Mussel bed - no TC for Victoria during Spr2022 survey due to rough waves
RB,AA,SoCal,Victoria Beach,4/19/2022,13,1.63,As,19.9,N,N,NA,1.32,Mussel bed - no TC for Victoria during Spr2022 survey due to rough waves
RB,AA,SoCal,Victoria Beach,4/19/2022,12,3.7,M,33.4,N,N,NA,1.04,Mussel bed - no TC for Victoria during Spr2022 survey due to rough waves
RB,AA,SoCal,Victoria Beach,4/19/2022,12,3.7,As,11.6,N,N,NA,1.04,Mussel bed - no TC for Victoria during Spr2022 survey due to rough waves
RB,AA,SoCal,Victoria Beach,4/19/2022,12,3.7,As,11.8,N,N,NA,1.04,Mussel bed - no TC for Victoria during Spr2022 survey due to rough waves
RB,AA,SoCal,Victoria Beach,4/19/2022,10,3.3,As,16.5,N,N,NA,0.68,Mussel bed - no TC for Victoria during Spr2022 survey due to rough waves
RB,AA,SoCal,Victoria Beach,4/19/2022,10,3.3,As,17.6,N,N,NA,0.68,Mussel bed - no TC for Victoria during Spr2022 survey due to rough waves
